epoch,learning_rate,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,validation_loss,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro
1,0.001,1.890129800860087,0.34855555555555556,0.3402431083152537,0.34868288162637756,0.3409930830790801,1.7854044895172119,0.4178,0.43661792412627226,0.4184292606840391,0.4203049269632279
2,0.001,1.6802298407872518,0.46413333333333334,0.4568319337958999,0.4643200869961719,0.45891020871095434,1.6554833499908448,0.4794,0.4863303155157427,0.47975127442514554,0.47279974592494245
3,0.001,1.6036465575536092,0.5082666666666666,0.5033079903635224,0.5084632854691054,0.5049734123417684,1.6148503986358642,0.5032,0.5128562216186288,0.5017659352029874,0.4993024374763289
4,0.001,1.5507656283696492,0.5355777777777778,0.5326365791377705,0.5357435973305533,0.5339184744155787,1.5612020301818847,0.5264,0.542769249500499,0.5255793410105853,0.5263421648627041
5,0.001,1.5123687914530437,0.5534888888888889,0.5514265058439002,0.5536278909388099,0.5523764924367771,1.536368056488037,0.5478,0.5562945737887585,0.547866203774502,0.542822038170968
6,0.001,1.4711434750027126,0.5775333333333333,0.5760074651457379,0.5776873003437736,0.5767282673548152,1.5249374782562255,0.5518,0.5710821434888049,0.549427835870506,0.545323731774046
7,0.001,1.4463942313088312,0.5877555555555556,0.5868388307391,0.5878792354582946,0.5872993256968637,1.526331043624878,0.5562,0.5723567311857268,0.5543292657136033,0.5479139214461973
8,0.001,1.4199847801208496,0.6009555555555556,0.6001113939843489,0.601079098809164,0.600551524305054,1.4887911437988282,0.575,0.5867107395767024,0.5722068924256029,0.5668499871208976
9,0.001,1.3930655808342827,0.6103111111111111,0.6099664670231911,0.6104190420099701,0.6101580478595153,1.4202478378295897,0.603,0.6054425918022988,0.6010775370287456,0.5996212703781073
10,0.001,1.3739292847527398,0.6217777777777778,0.6214791341891065,0.621882512632072,0.6216295890261748,1.4336107942581178,0.606,0.6156241723332889,0.6038122117851843,0.6046622983127278
11,0.001,1.3573948980755277,0.6276444444444444,0.6272093219582053,0.6277529903301075,0.6274381868667144,1.418923385620117,0.6144,0.6208091015904899,0.6139705074016686,0.6137886742729924
12,0.001,1.3435024284998576,0.6354,0.635074220665717,0.6355162727275125,0.6352198887206797,1.474986851119995,0.5862,0.6058353966955626,0.5861688008939925,0.5856475508019081
13,0.001,1.3310026380115085,0.6406222222222222,0.6403609837291263,0.6407051749630011,0.6404618974590272,1.39517357006073,0.6204,0.6317863786465452,0.6187335080750651,0.6172131369382612
14,0.001,1.3217095835579766,0.6449555555555555,0.6446125961884249,0.6450668300028173,0.644767530389224,1.3693265972137452,0.6306,0.6315321459390755,0.6292888118192408,0.6272851528458584
15,0.001,1.3062223131815593,0.6501777777777777,0.649923158675356,0.6502708045642489,0.6499924204051527,1.4049270015716553,0.618,0.6381919522663566,0.6181621862734434,0.6186541392970752
16,0.001,1.2966607214397854,0.6539111111111111,0.6538380752736168,0.6540022002544552,0.653819765753841,1.4009946725845337,0.6228,0.6273211267838796,0.6201211224051368,0.6172311411541944
17,0.001,1.285117698733012,0.6584,0.6581431451689947,0.6584952330477354,0.6582426331275425,1.3698807315826416,0.6392,0.6424734341595536,0.637756101899652,0.6378708255727459
18,0.0005,1.248398223792182,0.6726,0.6725126361429503,0.6726877073276015,0.6725345962887237,1.330051403427124,0.6538,0.6545811496720179,0.6527081146578556,0.6524442305101726
19,0.0005,1.2362449341244168,0.6763333333333333,0.676271263442454,0.6764157922258454,0.6763030615214436,1.3603098024368285,0.6448,0.6492723664744122,0.6438971246239825,0.6447674101154066
20,0.0005,1.2300585851881238,0.6794,0.6793609741926235,0.6795078612160744,0.6793889406791833,1.3455675128936768,0.651,0.6515272143836828,0.6499474456807904,0.6500094375265306
