actual,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
class_0,2276,249,487,139,197,256,175,225,629,331
class_1,237,2681,277,111,170,205,180,225,327,608
class_2,364,192,2116,240,481,417,349,325,255,202
class_3,220,192,691,1031,323,1277,413,307,263,292
class_4,271,180,642,169,1977,370,323,608,256,215
class_5,182,177,500,470,318,2253,194,422,210,252
class_6,195,163,717,357,433,309,2101,234,239,245
class_7,209,163,399,155,353,458,154,2630,205,303
class_8,343,231,263,98,180,226,163,184,3026,276
class_9,258,423,261,102,161,223,166,255,302,2913
