actual,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
class_0,2881,195,352,154,150,155,157,153,545,285
class_1,216,3246,100,127,104,128,137,125,248,547
class_2,442,125,2232,307,434,330,430,273,231,204
class_3,186,121,382,1870,307,989,359,264,247,265
class_4,217,141,336,332,2425,289,405,508,211,196
class_5,141,116,316,672,232,2581,186,379,188,182
class_6,174,149,301,513,487,213,2636,163,180,164
class_7,174,114,229,203,261,402,131,3032,172,231
class_8,329,207,133,120,98,152,120,106,3494,246
class_9,197,345,128,137,102,127,115,137,244,3478
