epoch,learning_rate,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,validation_loss,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro
1,0.001,1.7179932291030884,0.39944444444444444,0.38996595945536333,0.39944993621913255,0.39108457980607547,1.5648668788909912,0.4654,0.5181720831581742,0.4641826609726111,0.46228769471323206
2,0.001,1.435183463160197,0.5385333333333333,0.5317427165176237,0.5386727714832762,0.534086554997569,1.3597455823898315,0.56,0.5680434445596554,0.559901122000489,0.5552406241109921
3,0.001,1.3338596814897326,0.5837777777777777,0.5794132378900145,0.5839488576498899,0.5810571877655195,1.3512893825531005,0.5858,0.618618154764627,0.5876406937979295,0.5849869304651596
4,0.001,1.262200588713752,0.6168,0.6139587955688068,0.6169806344995712,0.61527022281891,1.284070938873291,0.605,0.6305478275172697,0.6034697929850369,0.6088181489553244
5,0.001,1.2122216995451185,0.6398444444444444,0.6381485604566544,0.6400176855852283,0.638989029688673,1.2776569770812989,0.6162,0.6435041944631197,0.6152910789674773,0.6101643176940325
6,0.001,1.1616460210588244,0.6634222222222222,0.6619565991278701,0.6635935395433639,0.6626787457040119,1.1731729774475097,0.6606,0.667871072551675,0.6576912859342625,0.6564923507977193
7,0.001,1.1290438458548653,0.6798888888888889,0.6791337359281377,0.6800560821309353,0.679521763359915,1.2492972583770752,0.6414,0.6875807869180458,0.6434444248164042,0.6372177232525807
8,0.001,1.101909088198344,0.6920444444444445,0.6913651890336471,0.6921895626187685,0.6917170006599095,1.1377561670303344,0.6828,0.701788340060238,0.6807915690575617,0.6833177022909338
9,0.001,1.0732373530281916,0.7013555555555555,0.7009094530717895,0.7015015063369185,0.7011434583663345,1.0764726818084718,0.7044,0.7090273848271481,0.7038590656273007,0.7017919952617093
10,0.001,1.0532622340520224,0.7112222222222222,0.711041896947146,0.7113617217080358,0.7111187913592789,1.1070702827453613,0.6964,0.7076608143542332,0.6972103522605506,0.692474466809655
11,0.001,1.0321496903737386,0.7181333333333333,0.7178399610709905,0.7182720977484665,0.7179990307025707,1.0807848190307616,0.7126,0.7217235105853508,0.7137659231978374,0.7131448180156779
12,0.001,1.0141780820740594,0.7255111111111111,0.72523583621929,0.7256371672908838,0.7253435401077624,1.0810156757354736,0.6994,0.7154790542287977,0.6983375437835571,0.6978451357399897
13,0.0005,0.9681351700676812,0.7441555555555556,0.743867516637409,0.7442619703773606,0.7439442337729966,1.0027957263946534,0.7342,0.737510695334807,0.7345107646794722,0.7329522974890204
14,0.0005,0.9577719551510281,0.7464444444444445,0.7460115816978681,0.7465744356730613,0.7462048743777486,1.008328777694702,0.728,0.7284751919147667,0.7276196049361092,0.7256271010209814
15,0.0005,0.9422559089660645,0.7539333333333333,0.7538422936418622,0.7540587586192317,0.7538616058983121,1.0074895462036133,0.7386,0.7394363568519848,0.7385943741650115,0.737360321976092
16,0.0005,0.9337645449956258,0.7548,0.7544391277551061,0.7549210658446184,0.7545949118764741,0.9992131132125854,0.7358,0.7380782707417348,0.735299507554205,0.7334432434468877
17,0.0005,0.9245489552709791,0.7606,0.7604598885590244,0.7607158717726763,0.760491192719891,0.9852652238845825,0.7414,0.7413299411096338,0.7400459194286061,0.7386088451619633
18,0.0005,0.9178279527346294,0.7608666666666667,0.7608306092413933,0.7609695894764781,0.7608254801703718,0.9862576736450195,0.7462,0.7470819938701183,0.745049313428361,0.7440180373857015
19,0.0005,0.9091506714714898,0.7646222222222222,0.7643524846583706,0.7647350965403026,0.7644518271440327,1.006454962158203,0.7388,0.7424747261380442,0.7394209484216487,0.7370338108213659
20,0.0005,0.9050356583277385,0.7673777777777778,0.7671582888103852,0.767491063367856,0.7672445351941559,0.9905247077941894,0.7514,0.7530916562105116,0.7509012971946738,0.7511461535564489
